id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,258260,JIWA,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,115898,JIWA,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,108535,JIWA,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,122268,JIWA,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,104423,JIWA,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,43988,JIWA,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,66583,JIWA,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,158993,JIWA,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,52155,JIWA,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,125108,JIWA,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,76010,JIWA,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,67658,JIWA,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,113983,JIWA,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,48446,JIWA,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,82917,JIWA,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,51171,JIWA,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,74362,JIWA,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,JIWA,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,123471,JIWA,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,55672,JIWA,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,18046,JIWA,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,22397,JIWA,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,109670,JIWA,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,66904,JIWA,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,34071,JIWA,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,29009,JIWA,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,11997,JIWA,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,327519,JIWA,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,143516,JIWA,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,126186,JIWA,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,125855,JIWA,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,95297,JIWA,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,50674,JIWA,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72857,JIWA,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,184568,JIWA,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,75082,JIWA,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,144125,JIWA,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,114020,JIWA,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,63270,JIWA,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,126311,JIWA,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,45811,JIWA,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,91098,JIWA,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,53951,JIWA,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,100666,JIWA,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14673,JIWA,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,150909,JIWA,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,55104,JIWA,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,20692,JIWA,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,23118,JIWA,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,119368,JIWA,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,68698,JIWA,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,38905,JIWA,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27549,JIWA,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,11378,JIWA,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,325189,JIWA,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,145225,JIWA,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,142759,JIWA,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,135391,JIWA,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,136619,JIWA,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,59315,JIWA,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,70710,JIWA,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,191789,JIWA,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,58896,JIWA,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,160793,JIWA,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,106330,JIWA,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69047,JIWA,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,139871,JIWA,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56404,JIWA,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,95196,JIWA,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,66649,JIWA,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,88000,JIWA,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,18867,JIWA,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,127589,JIWA,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,61285,JIWA,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,21943,JIWA,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,26407,JIWA,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,123804,JIWA,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,69516,JIWA,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,39368,JIWA,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,31393,JIWA,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,13525,JIWA,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,306851,JIWA,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,133843,JIWA,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,138875,JIWA,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,137205,JIWA,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,131487,JIWA,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57317,JIWA,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69516,JIWA,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,183505,JIWA,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,57917,JIWA,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,152757,JIWA,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,103072,JIWA,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,59069,JIWA,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,132502,JIWA,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56343,JIWA,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,92857,JIWA,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,64669,JIWA,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,85329,JIWA,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22150,JIWA,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,120984,JIWA,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,59077,JIWA,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,20556,JIWA,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,26030,JIWA,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,124179,JIWA,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,72208,JIWA,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,37764,JIWA,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30188,JIWA,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,13550,JIWA,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,305914,JIWA,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,133434,JIWA,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,138451,JIWA,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,136786,JIWA,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,131086,JIWA,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,57142,JIWA,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,69304,JIWA,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,182945,JIWA,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,57740,JIWA,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,152291,JIWA,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,102757,JIWA,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,58889,JIWA,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,132098,JIWA,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,56171,JIWA,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,92574,JIWA,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,64472,JIWA,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,85069,JIWA,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22082,JIWA,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,120615,JIWA,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,58897,JIWA,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,20493,JIWA,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,25951,JIWA,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,123800,JIWA,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,71988,JIWA,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,37649,JIWA,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30096,JIWA,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,13506,JIWA,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,71177,JIWA,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,34068,JIWA,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,26262,JIWA,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51140,JIWA,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,40994,JIWA,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,24201,JIWA,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15846,JIWA,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,16968,JIWA,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,20617,JIWA,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16904,JIWA,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,16082,JIWA,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,17182,JIWA,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,21437,JIWA,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14674,JIWA,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26312,JIWA,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,47584,JIWA,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,23995,JIWA,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4192,JIWA,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,17037,JIWA,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,6570,JIWA,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,51940,JIWA,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,9794,JIWA,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,37833,JIWA,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,26219,JIWA,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,9064,JIWA,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13970,JIWA,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,3061,JIWA,2024
