id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_sekolah,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2016/2017
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,345,UNIT,2016/2017
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2016/2017
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,145,UNIT,2016/2017
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2016/2017
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,153,UNIT,2016/2017
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2016/2017
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,126,UNIT,2016/2017
9,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,7,UNIT,2016/2017
10,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,83,UNIT,2016/2017
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,14,UNIT,2016/2017
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,161,UNIT,2016/2017
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,13,UNIT,2016/2017
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,122,UNIT,2016/2017
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,8,UNIT,2016/2017
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,58,UNIT,2016/2017
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,9,UNIT,2016/2017
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,38,UNIT,2016/2017
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2016/2017
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2016/2017
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,8,UNIT,2016/2017
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,100,UNIT,2016/2017
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2016/2017
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,122,UNIT,2016/2017
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2016/2017
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,91,UNIT,2016/2017
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15,UNIT,2016/2017
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,43,UNIT,2016/2017
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,18,UNIT,2016/2017
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,92,UNIT,2016/2017
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,14,UNIT,2016/2017
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,171,UNIT,2016/2017
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,9,UNIT,2016/2017
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,93,UNIT,2016/2017
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2016/2017
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,26,UNIT,2016/2017
37,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,16,UNIT,2016/2017
38,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,110,UNIT,2016/2017
39,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,5,UNIT,2016/2017
40,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,97,UNIT,2016/2017
41,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,4,UNIT,2016/2017
42,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,28,UNIT,2016/2017
43,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,2,UNIT,2016/2017
44,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,28,UNIT,2016/2017
45,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,17,UNIT,2016/2017
46,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,131,UNIT,2016/2017
47,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,4,UNIT,2016/2017
48,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,127,UNIT,2016/2017
49,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,3,UNIT,2016/2017
50,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,21,UNIT,2016/2017
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,4,UNIT,2016/2017
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,48,UNIT,2016/2017
53,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,4,UNIT,2016/2017
54,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,13,UNIT,2016/2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2017/2018
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,342,UNIT,2017/2018
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2017/2018
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,142,UNIT,2017/2018
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2017/2018
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,147,UNIT,2017/2018
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2017/2018
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,124,UNIT,2017/2018
63,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,14,UNIT,2017/2018
64,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,157,UNIT,2017/2018
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,13,UNIT,2017/2018
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,121,UNIT,2017/2018
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,7,UNIT,2017/2018
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,54,UNIT,2017/2018
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,9,UNIT,2017/2018
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,36,UNIT,2017/2018
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,7,UNIT,2017/2018
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,100,UNIT,2017/2018
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2017/2018
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2017/2018
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7,UNIT,2017/2018
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,81,UNIT,2017/2018
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2017/2018
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,119,UNIT,2017/2018
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2017/2018
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,88,UNIT,2017/2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15,UNIT,2017/2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,43,UNIT,2017/2018
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,18,UNIT,2017/2018
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,90,UNIT,2017/2018
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,13,UNIT,2017/2018
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,167,UNIT,2017/2018
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,9,UNIT,2017/2018
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,91,UNIT,2017/2018
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2017/2018
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,26,UNIT,2017/2018
91,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,5,UNIT,2017/2018
92,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,96,UNIT,2017/2018
93,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,4,UNIT,2017/2018
94,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,28,UNIT,2017/2018
95,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,16,UNIT,2017/2018
96,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,109,UNIT,2017/2018
97,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,2,UNIT,2017/2018
98,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,28,UNIT,2017/2018
99,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,15,UNIT,2017/2018
100,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,129,UNIT,2017/2018
101,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,4,UNIT,2017/2018
102,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,124,UNIT,2017/2018
103,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,3,UNIT,2017/2018
104,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,21,UNIT,2017/2018
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,4,UNIT,2017/2018
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,47,UNIT,2017/2018
107,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,4,UNIT,2017/2018
108,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,11,UNIT,2017/2018
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2018/2019
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,347,UNIT,2018/2019
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2018/2019
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,149,UNIT,2018/2019
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2018/2019
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,155,UNIT,2018/2019
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2018/2019
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,128,UNIT,2018/2019
117,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,15,UNIT,2018/2019
118,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,164,UNIT,2018/2019
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,13,UNIT,2018/2019
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,123,UNIT,2018/2019
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,8,UNIT,2018/2019
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,61,UNIT,2018/2019
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,9,UNIT,2018/2019
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,35,UNIT,2018/2019
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,8,UNIT,2018/2019
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,100,UNIT,2018/2019
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2018/2019
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2018/2019
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7,UNIT,2018/2019
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,83,UNIT,2018/2019
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2018/2019
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,118,UNIT,2018/2019
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2018/2019
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,91,UNIT,2018/2019
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15,UNIT,2018/2019
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,43,UNIT,2018/2019
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,18,UNIT,2018/2019
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,93,UNIT,2018/2019
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,15,UNIT,2018/2019
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,169,UNIT,2018/2019
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,9,UNIT,2018/2019
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,93,UNIT,2018/2019
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,4,UNIT,2018/2019
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,26,UNIT,2018/2019
145,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,5,UNIT,2018/2019
146,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,97,UNIT,2018/2019
147,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,4,UNIT,2018/2019
148,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,28,UNIT,2018/2019
149,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,16,UNIT,2018/2019
150,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,109,UNIT,2018/2019
151,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,2,UNIT,2018/2019
152,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,28,UNIT,2018/2019
153,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,15,UNIT,2018/2019
154,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,132,UNIT,2018/2019
155,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,4,UNIT,2018/2019
156,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,127,UNIT,2018/2019
157,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,3,UNIT,2018/2019
158,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,21,UNIT,2018/2019
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,4,UNIT,2018/2019
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,47,UNIT,2018/2019
161,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,4,UNIT,2018/2019
162,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,13,UNIT,2018/2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2019/2020
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,348,UNIT,2019/2020
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2019/2020
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,151,UNIT,2019/2020
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2019/2020
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,158,UNIT,2019/2020
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2019/2020
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,127,UNIT,2019/2020
171,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,15,UNIT,2019/2020
172,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,162,UNIT,2019/2020
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,14,UNIT,2019/2020
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,122,UNIT,2019/2020
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,8,UNIT,2019/2020
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,62,UNIT,2019/2020
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,9,UNIT,2019/2020
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,34,UNIT,2019/2020
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,8,UNIT,2019/2020
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,99,UNIT,2019/2020
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2019/2020
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2019/2020
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7,UNIT,2019/2020
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,82,UNIT,2019/2020
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2019/2020
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,117,UNIT,2019/2020
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2019/2020
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,91,UNIT,2019/2020
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NEGERI,15,UNIT,2019/2020
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SWASTA,42,UNIT,2019/2020
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NEGERI,18,UNIT,2019/2020
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SWASTA,96,UNIT,2019/2020
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,NEGERI,15,UNIT,2019/2020
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,SWASTA,172,UNIT,2019/2020
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NEGERI,9,UNIT,2019/2020
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SWASTA,91,UNIT,2019/2020
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NEGERI,6,UNIT,2019/2020
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SWASTA,25,UNIT,2019/2020
199,32,JAWA BARAT,3271,KOTA BOGOR,NEGERI,5,UNIT,2019/2020
200,32,JAWA BARAT,3271,KOTA BOGOR,SWASTA,98,UNIT,2019/2020
201,32,JAWA BARAT,3272,KOTA SUKABUMI,NEGERI,4,UNIT,2019/2020
202,32,JAWA BARAT,3272,KOTA SUKABUMI,SWASTA,26,UNIT,2019/2020
203,32,JAWA BARAT,3273,KOTA BANDUNG,NEGERI,16,UNIT,2019/2020
204,32,JAWA BARAT,3273,KOTA BANDUNG,SWASTA,105,UNIT,2019/2020
205,32,JAWA BARAT,3274,KOTA CIREBON,NEGERI,2,UNIT,2019/2020
206,32,JAWA BARAT,3274,KOTA CIREBON,SWASTA,26,UNIT,2019/2020
207,32,JAWA BARAT,3275,KOTA BEKASI,NEGERI,15,UNIT,2019/2020
208,32,JAWA BARAT,3275,KOTA BEKASI,SWASTA,126,UNIT,2019/2020
209,32,JAWA BARAT,3276,KOTA DEPOK,NEGERI,4,UNIT,2019/2020
210,32,JAWA BARAT,3276,KOTA DEPOK,SWASTA,125,UNIT,2019/2020
211,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,3,UNIT,2019/2020
212,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,20,UNIT,2019/2020
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,4,UNIT,2019/2020
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,47,UNIT,2019/2020
215,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,4,UNIT,2019/2020
216,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,13,UNIT,2019/2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,11,UNIT,2020/2021
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,347,UNIT,2020/2021
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,11,UNIT,2020/2021
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,152,UNIT,2020/2021
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,28,UNIT,2020/2021
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,158,UNIT,2020/2021
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,11,UNIT,2020/2021
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,128,UNIT,2020/2021
225,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,15,UNIT,2020/2021
226,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,162,UNIT,2020/2021
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,14,UNIT,2020/2021
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,122,UNIT,2020/2021
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,8,UNIT,2020/2021
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,62,UNIT,2020/2021
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,9,UNIT,2020/2021
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,34,UNIT,2020/2021
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,8,UNIT,2020/2021
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,101,UNIT,2020/2021
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,11,UNIT,2020/2021
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,45,UNIT,2020/2021
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,7,UNIT,2020/2021
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,83,UNIT,2020/2021
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NEGERI,19,UNIT,2020/2021
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SWASTA,118,UNIT,2020/2021
241,32,JAWA BARAT,3213,KABUPATEN SUBANG,NEGERI,16,UNIT,2020/2021
242,32,JAWA BARAT,3213,KABUPATEN SUBANG,SWASTA,93,UNIT,2020/2021
